_ID,_VALUE,Comment:string,CN:string,CNT:string,EN:string,KR:string,TH:string,ID:string,PT:string
LOC_SERVER_GUILD_TEAM_BE_READY,30,,{0} 让队伍进入了准备就绪状态,{0} 讓隊伍進入了準備就緒狀態,{0} has readied the party.,{0} 님이 파티 준비 상태로 전환했습니다.,{0} สมาชิกในปาร์ตี้ทุกคนพร้อมแล้ว,{0} telah bersiap di dalam Party.,{0} preparou o grupo.
LOC_SERVER_TIME_JUST_NOW,31,时间,[647277][刚刚][-],[647277][剛剛][-],[647277][Just now][-],[647277][방금][-],[647277][เมื่อกี้][-],[647277][Saat Ini][-],[647277][Neste momento][-]
LOC_SERVER_TIME_DAY_HOUR,32,,{0}天{1}小时,{0}天{1}小時,{0} d {1} h,{0}일 {1}시간,{0}วัน{1}ชม.,{0} Hari {1} Jam,{0} d {1} h
LOC_SERVER_TIME_HOUR_MIN,33,,{0}小时{1}分,{0}小時{1}分,{0} h {1} m,{0}시간 {1}분,{0}ชม.{1}นาที,{0} Jam {1} Menit,{0} h {1} m
LOC_SERVER_TIME_MIN_SEC,34,,{0}分{1}秒,{0}分{1}秒,{0} m {1} s,{0}분 {1}초,{0}นาที{1}วินาที,{0} Menit {1} Detik,{0} m {1} s
LOC_SERVER_TIME_MIN,35,,{0}分,{0}分,{0} m,{0}분,{0}นาที,{0} Menit,{0} m
LOC_SERVER_TIME_SEC,36,,{0}秒,{0}秒,{0} s,{0}초,{0}วินาที,{0} Detik,{0} s
LOC_SERVER_TIME_DAY_HOUR_AGO,37,,{0}天{1}小时前,{0}天{1}小時前,{0} d {1} h ago,{0}일 {1}시간 전,{0}วัน{1}ชม.ที่แล้ว,{0} Hari {1} Jam Yang Lalu,{0} d {1} h atrás
LOC_SERVER_TIME_HOUR_MIN_AGO,38,,{0}小时{1}分前,{0}小時{1}分前,{0} h {1} m ago,{0}시간 {1}분 전,{0}วัน{1}นาทีที่แล้ว,{0} Jam {1} Menit Yang Lalu,{0} h {1} m atrás
LOC_SERVER_TIME_MIN_SEC_AGO,39,,{0}分{1}秒前,{0}分{1}秒前,{0} m {1} s ago,{0}분 {1}초 전,{0}นาที{1}วินาทีที่แล้ว,{0} Menit {1} Detik Yang Lalu,{0} m {1} s atrás
LOC_SERVER_TIME_MIN_AGO,40,,[647277][{0}分前][-],[647277][{0}分前][-],[647277][{0} m ago][-],[647277][{0}분 전][-],[647277][{0}นาทีที่แล้ว][-],[647277][{0} Menit Yang Lalu][-],[647277][{0} m atrás][-]
LOC_SERVER_TIME_SEC_AGO,41,,{0}秒前,{0}秒前,{0} s ago,{0}초 전,{0}วินาทีที่แล้ว,{0} Detik Yang Lalu,{0} s atrás
LOC_SERVER_TIME_MONTH_AGO,42,,{0}个月前,{0}個月前,{0} months ago,{0}개월 전,{0}เดือนที่แล้ว,{0} Bulan Yang Lalu,{0} meses atrás
LOC_SERVER_TIME_HOUR_AGO,43,,[647277][{0}小时前][-],[647277][{0}小時前][-],[647277][{0} h ago][-],[647277][{0}시간 전][-],[647277][{0}ชม.ที่แล้ว][-],[647277][{0} Jam Yang Lalu][-],[647277][{0} h atrás][-]
LOC_SERVER_TIME_DAY_AGO,44,,[647277][{0}天前][-],[647277][{0}天前][-],[647277][{0} d ago][-],[647277][{0}일 전][-],[647277][{0}วันที่แล้ว][-],[647277][{0} Hari Yang Lalu][-],[647277][{0} d atrás][-]
LOC_SERVER_PUSH_TITLE_1,45,推送,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_PUSH_TITLE_2,46,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_PUSH_TITLE_3,47,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_PUSH_GUILD_TEAM_READY,48,,您的队伍已经准备就绪，快开始无尽之塔试炼吧！,您的隊伍已經準備就緒，快開始無盡之塔試煉吧！,Your party is ready. Start the Endless Tower!,파티가 준비 상태가 되었습니다. 엔들리스 타워를 시작하세요!,สมาชิกในปาร์ตี้ทุกคนพร้อมแล้ว เริ่มหอคอยไม่สิ้นสุดกันเถอะ!,Ketua Party telah siap. Kamu dapat memulai Endless Tower!,Seu grupo está pronto. Inicie a Torre Infinita!
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_01,49,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_02,50,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_03,51,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_04,52,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_05,53,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_06,54,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_SERVER_WIDGET_TEAM_LEVEL_AI_07,55,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_PAN_EVENT_LUCKY_TURNTABLE_ANNOUNCEMENT_1_DISCARD,56,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_PAN_EVENT_LUCKY_TURNTABLE_MAIL_TITLE,57,,幸运转盘活动排名奖励,幸運轉盤活動排名獎勵,Lucky Roulette Event Rank Reward,행운룰렛 이벤트 랭킹 보상,รางวัลอันดับกงล้อแห่งโชค,Hadiah Lucky Roulette Event Rank,Recompensa de ranque do evento Roleta da Sorte
LOC_PAN_EVENT_LUCKY_TURNTABLE_MAIL_BODY,58,,恭喜您在幸运转盘中获得第{0}名,恭喜您在幸運轉盤中獲得第{0}名,Attained Rank {0} in Lucky Roulette.,행운룰렛에서 {0}위에 올랐습니다.,อันดับกงล้อแห่งโชคของคุณถึงอันดับ {0} ,{0} Peringkat yang berhasil dicapai di Lucky Roulette.,Ranque {0} alcançado na Roleta da Sorte.
LOC_PAN_EVENT_LUCKY_TURNTABLE_MAIL_SENDER,59,,活动管理委员会,活動管理委員會,Event Management Committee,이벤트 관리위원회,กรรมการจัดอีเว้นท์,Event Management Committee,Comitê de administração de evento
LOC_PAN_EVENT_GEM_FESTIVAL_1,60,,宝石至尊,終極寶石,Premium Gem,프리미엄 젬,Premium Gem,Premium Gem,Gema premium
LOC_TEAM_BATTLE_NOTICE_1,61,天空组队,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_TEAM_BATTLE_NOTICE_2,62,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_GUILD_ATHLETIC_RANK_TITLE,63,公会竞技邮件,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_GUILD_ATHLETIC_RANK_CONTENT,64,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_WORLD_BOSS_RANK_TITLE,65,世界boss邮件,世界MVP讨伐战总排名奖励,世界MVP討伐戰總排名獎勵,World MVP Hunt Total Rank Reward,월드MVP 토벌전 총 랭킹 보상,รางวัลอันดับDmgทั้งหมดของล่าบอสโลกMVP,Hadiah World MVP Hunt Total Rank,Recompensa de ranque total de caçada ao MVP mundial
LOC_MAIL_WORLD_BOSS_RANK_CONTENT,66,,您在本次世界MVP讨伐战中获得了总榜第{0}名，获得如下奖励,您在本次世界MVP討伐戰中獲得了總榜第{0}名，獲得以下獎勵,Attained Rank {0} in the latest World MVP Hunt. You will receive the following.,이번 월드MVP 토벌전에서 {0}위에 올라 다음 보상을 획득합니다.,อันดับDmgทั้งหมดของคุณคืออันดับ {0} ในLeaderboards (ล่าบอสโลกMVP) และได้รับรางวัลตามนี้,{0} Peringkat yang berhasil dicapai di World MVP Hunt. Kamu akan menerima hadiah sebagai berikut.,Ranque {0} alcançado na caçada ao MVP mundial. Você receberá as recompensas a seguir.
LOC_MAIL_GUILD_ATHLETIC_ACTIVITY_RANK_TITLE,67,公会竞技活动邮件,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_GUILD_ATHLETIC_ACTIVITY_RANK_CONTENT,68,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_WORLD_BOSS_DAILY_DMG_RANK_REWARD_CONTENT,69,世界BOSS每日伤害排名奖励,您在世界MVP讨伐战中获得了昨日总伤害第{0}名，获得如下奖励,您在世界MVP討伐戰中獲得了昨日總傷害第{0}名，獲得以下獎勵,Recorded Total Damage Rank {0} for the World MVP Hunt. You will receive the following.,월드MVP 토벌전에서 어제 총 피해 {0}위에 올라 다음 보상을 획득합니다.,อันดับDmgทั้งหมดของคุณถึงอันดับ {0} ในLeaderboards (ล่าบอสโลกMVP) และได้รับรางวัลตามนี้,Recorded Total Damage Rank {0} di World MVP Hunt. Kamu akan menerima hadiah sebagai berikut.,Ranque de dano total registrado {0} na caçada ao MVP mundial. Você receberá as recompensas a seguir.
LOC_MAIL_WORLD_BOSS_DAILY_DMG_RANK_SAME_SERVER_REWARD_CONTENT,70,世界BOSS每日伤害前三所在服务器的全服奖励内容,{0}在世界MVP讨伐战中获得了昨日总伤害第{1}名，其所在服务器的所有玩家普天同庆，获得如下奖励,{0}在世界MVP討伐戰中獲得了昨日總傷害第{1}名，其所在伺服器的所有玩家普天同慶，獲得以下獎勵,{0} has recorded Total Damage Rank {1} for yesterday's World MVP Hunt. Everyone on their server will receive a Celebration reward.,{0}님이 월드MVP 토벌전에서 어제의 총 피해량 {1}위에 올라 다음 보상을 획득합니다. 해당 서버의 모든 유저가 다음의 보상을 획득합니다.,{0} อันดับDmgทั้งหมดเมื่อวานของคุณถึงอันดับ {1} ในLeaderboards (ล่าบอสโลกMVP) ผู้เล่นทุกท่าน(ที่อยู่ในเซิฟเดียวกัน) ได้รับรางวัลตามนี้,{0} telah tercatat Total Damage Rank {1} pada World MVP Hunt kemarin. Setiap pemain akan menerima hadiah berupa Celebration Reward.,{0} registrou {1} no ranque de dano total ontem na caçada ao MVP mundial. Todos os jogadores do servidor receberão uma recompensa de comemoração.
LOC_MAIL_WORLD_BOSS_DAILY_DMG_RANK_SAME_SERVER_REWARD_TITLE,71,世界BOSS每日伤害前三所在服务器的全服奖励标题,世界MVP讨伐战普天同庆奖,世界MVP討伐戰普天同慶獎,World MVP Hunt Celebration Reward,월드MVP 토벌전 축하 보상,ฉลองได้รับรางวัลล่าบอสโลกMVP,Hadiah World MVP Hunt Celebration,Recompensa de comemoração da caçada ao MVP mundial
LOC_MAIL_WORLD_BOSS_DAILY_DMG_RANK_REWARD_TITLE,72,世界BOSS每日伤害排名奖励标题,世界MVP讨伐战昨日排名奖励,世界MVP討伐戰昨日排名獎勵,World MVP Hunt Yesterday Rank Reward,월드MVP 토벌전 어제 랭킹 보상,อันดับDmgของคุณในล่าบอสโลกMVPเมื่อวาน,Hadiah World MVP Hunt Yesterday Rank,Recompensa de ranque de ontem da caçada ao MVP mundial
LOC_MAIL_WORLD_BOSS_SINGLE_DMG_RANK_REWARD_TITLE,73,世界BOSS单次伤害前三奖励标题,世界MVP讨伐战单次伤害排名奖励,世界MVP討伐戰單次傷害排名獎勵,World MVP Hunt Single Damage Rank Reward,월드MVP 토벌전 1회 피해 랭킹 보상,อันดับDmgของคุณในล่าบอสโลกMVP(เดี่ยว),Hadiah World MVP Hunt Single Damage Rank,Recompensa de ranque de dano único na caçada ao MVP mundial
LOC_MAIL_WORLD_BOSS_SINGLE_DMG_RANK_REWARD_CONTENT,74,世界BOSS单次伤害前三奖励内容,您在世界MVP讨伐战中获得了单次伤害第{0}名，获得如下奖励,您在世界MVP討伐戰中獲得了單次傷害第{0}名，獲得以下獎勵,Recorded Single Damage Rank {0} for the World MVP Hunt. You will receive the following.,월드MVP 토벌전에서 1회 피해 {0}위에 올라 다음 보상을 획득합니다.,อันดับDmgทั้งหมดของคุณถึงอันดับ {0} ในLeaderboards (ล่าบอสโลกMVPแบบเดี่ยว) และได้รับรางวัลตามนี้,Recorded Single Damage Rank {0} di World MVP Hunt. Kamu akan menerima hadiah sebagai berikut.,Foi registrado {0} no ranque de dano único na caçada ao MVP mundial. Você receberá as recompensas a seguir.
LOC_SERVER_HEROES_NAMECN_HERO_MUMMY,75,CSV-MONSTER,木乃伊,木乃伊,Mummy,미이라,Mummy,Mummy,Múmia
LOC_SERVER_HEROES_NAMECN_HERO_KOBOLD_3,76,,刺锤犬妖,刺錘犬妖,Chain Kobold,모닝스타 고블린,Kobold,Chain Kobold,Kobold com Corrente
LOC_SERVER_HEROES_NAMECN_HERO_NIGHTMARE,77,,梦魇,夢魘,Nightmare,나이트메어,Nightmare,Nightmare,Pesadelo
